Key,incident_nb,DateTime_Out
Caserne 08 Grid4_3,2,2020-01-01
Caserne 08 Grid4_3,3,2021-01-01
Caserne 08 Grid4_3,2,2022-01-01
Caserne 08 Grid4_4,3,2015-01-01
Caserne 08 Grid4_4,5,2016-01-01
Caserne 08 Grid4_4,3,2017-01-01
Caserne 08 Grid4_4,5,2018-01-01
Caserne 08 Grid4_4,3,2019-01-01
Caserne 08 Grid4_4,5,2020-01-01
Caserne 08 Grid4_4,1,2021-01-01
Caserne 08 Grid4_4,1,2022-01-01
Caserne 08 Grid5_1,9,2015-01-01
Caserne 08 Grid5_1,8,2016-01-01
Caserne 08 Grid5_1,11,2017-01-01
Caserne 08 Grid5_1,15,2018-01-01
Caserne 08 Grid5_1,28,2019-01-01
Caserne 08 Grid5_1,14,2020-01-01
Caserne 08 Grid5_1,20,2021-01-01
Caserne 08 Grid5_1,5,2022-01-01
Caserne 08 Grid5_2,3,2015-01-01
Caserne 08 Grid5_2,10,2016-01-01
Caserne 08 Grid5_2,8,2017-01-01
Caserne 08 Grid5_2,6,2018-01-01
Caserne 08 Grid5_2,7,2019-01-01
Caserne 08 Grid5_2,10,2021-01-01
Caserne 08 Grid5_2,3,2022-01-01
Caserne 09 Grid0_1,19,2015-01-01
Caserne 09 Grid0_1,20,2016-01-01
Caserne 09 Grid0_1,21,2017-01-01
Caserne 09 Grid0_1,20,2018-01-01
Caserne 09 Grid0_1,20,2019-01-01
Caserne 09 Grid0_1,32,2020-01-01
Caserne 09 Grid0_1,22,2021-01-01
Caserne 09 Grid0_1,8,2022-01-01
Caserne 09 Grid0_2,13,2015-01-01
Caserne 09 Grid0_2,5,2016-01-01
Caserne 09 Grid0_2,2,2017-01-01
Caserne 09 Grid0_2,2,2018-01-01
Caserne 09 Grid0_2,9,2019-01-01
Caserne 09 Grid0_2,2,2020-01-01
Caserne 09 Grid0_2,2,2021-01-01
Caserne 09 Grid0_2,3,2022-01-01
Caserne 09 Grid1_0,22,2015-01-01
Caserne 09 Grid1_0,22,2016-01-01
