Key,Sum_Population,Sum_Pop__Densi,Sum_Income___T,Sum_Housing___,Sum_Education_
Caserne 74 Grid2_1,7814,67750,5745,2635,5780
Caserne 74 Grid2_2,10985,44723.5,8925,4390,8910
Caserne 74 Grid2_3,5743,12684.8,4815,2570,4690
Caserne 74 Grid2_4,3501,1718.7,2975,1685,2850
Caserne 74 Grid3_0,5357,73133.4,4330,1860,4300
Caserne 74 Grid3_1,9316,74158.3,7280,3535,7310
Caserne 74 Grid3_2,4921,30865.5,3925,1940,3995
Caserne 74 Grid3_3,3675,9579.7,3105,1605,2970
Caserne 74 Grid4_0,2404,15233.7,2030,840,2010
Caserne 74 Grid4_1,6793,50816.6,4985,2350,4880
Caserne 74 Grid5_0,581,2209.1,475,200,490
Caserne 75 Grid0_0,11204,145311.4,8475,4620,8465
Caserne 75 Grid0_1,11012,175064.7,8445,4285,8355
Caserne 75 Grid0_2,3516,65789.6,2195,1295,2470
Caserne 75 Grid1_0,11994,318340.1,8425,4265,8610
Caserne 75 Grid1_1,9919,149099.2,7005,3590,7365
Caserne 75 Grid1_2,2266,36115,1125,735,1350
Caserne 75 Grid2_0,1780,40490.1,1225,590,1280
Caserne 75 Grid2_1,6156,117794.9,5090,2785,5045
Caserne 75 Grid2_2,1124,635.5,975,535,1010
Caserne 76 Grid0_0,8920,83971.7,7700,4335,7795
Caserne 76 Grid0_1,7472,65631.1,5820,2615,5850
Caserne 76 Grid0_2,1809,31811.5,1545,885,1670
Caserne 76 Grid1_0,7974,63992.5,6770,3180,6860
Caserne 76 Grid1_1,13735,192633.6,11050,5935,11090
Caserne 76 Grid1_2,5481,64718.7,4405,2510,4390
Caserne 76 Grid2_0,7121,93177.4,6350,3625,6325
Caserne 76 Grid2_1,8000,126375.3,6795,4020,6790
Caserne 77 Grid0_0,5183,68560.6,3985,1985,3920
Caserne 77 Grid1_0,6059,43854.7,4930,2330,4865
Caserne 77 Grid1_1,4144,16339.7,3380,1670,3345
Caserne 77 Grid2_0,3072,18138.7,2495,1100,2395
Caserne 77 Grid2_1,1743,6075.6,1420,710,1370
Caserne 78 Grid0_1,3613,2796.3,3040,1565,2860
Caserne 78 Grid0_2,461,383.8,375,135,315
Caserne 78 Grid0_3,2024,5917.4,1615,740,1715
Caserne 78 Grid0_4,1153,821,905,445,955
Caserne 78 Grid1_0,2445,1255.2,2120,1195,2005
Caserne 78 Grid1_1,9228,66564,7895,4370,7715
Caserne 78 Grid1_2,9539,79443.1,7010,3325,6770
Caserne 78 Grid1_3,10100,148036.4,7860,3670,7885
Caserne 78 Grid1_4,3027,21705.8,2350,1155,2455
Caserne 78 Grid2_0,5033,24056,4230,2120,4030
Caserne 78 Grid2_1,13943,99673,11535,5865,11205
Caserne 78 Grid2_2,9984,105513.9,7920,3975,7810
Caserne 78 Grid2_3,10289,215965.9,7885,4050,7750
Caserne 78 Grid2_4,1939,17172,1535,725,1575
Caserne 78 Grid3_0,2587,25138.9,2125,980,2175
Caserne 78 Grid3_1,6181,92027.6,5215,2490,5165
Caserne 78 Grid3_2,5709,93898.5,4665,2480,4745
Caserne 78 Grid4_1,5454,163635.9,4690,2735,4710
caserne 47 Grid0_0,343,11827.6,300,185,300
caserne 47 Grid0_1,14545,381166.7,12340,7655,12565
caserne 47 Grid0_2,11813,314192.5,10020,6360,9985
caserne 47 Grid1_0,11006,194030.6,9205,5585,9035
caserne 47 Grid1_1,18439,407482.7,15670,9965,15750
caserne 47 Grid1_2,17956,383759.7,15380,10010,15420
caserne 47 Grid1_3,5493,66090.8,4740,3185,4770
caserne 47 Grid2_0,3500,31658.3,2780,1845,2685
caserne 47 Grid2_1,3534,42073.5,3040,2005,2990
caserne 47 Grid2_2,4146,69788.5,3645,2405,3690
