Key,Sum_Population,Sum_Pop__Densi,Sum_Income___T,Sum_Housing___,Sum_Education_
Caserne 21 Grid0_3,5550,108778.1,4355,2120,4390
Caserne 21 Grid1_0,1150,1599.5,920,440,840
Caserne 21 Grid1_1,10080,87015.5,8030,3655,7960
Caserne 21 Grid1_2,15074,226107.5,11755,5595,11650
Caserne 21 Grid1_3,13675,335753.6,10285,4990,10350
Caserne 21 Grid2_0,4139,15990,3310,1650,3250
Caserne 21 Grid2_1,13156,197663.4,10460,5110,10515
Caserne 21 Grid2_2,9725,115008.5,8025,3700,8010
Caserne 21 Grid2_3,10865,157858.2,8515,4155,8430
Caserne 21 Grid2_4,2970,39156.9,2295,1180,2255
Caserne 21 Grid3_0,3152,4217.2,2520,1310,2580
Caserne 21 Grid3_1,6823,69592.8,5545,2955,5480
Caserne 21 Grid3_2,4295,36659.6,3590,1880,3655
Caserne 21 Grid3_3,1168,7478,860,405,875
Caserne 21 Grid4_1,708,881.5,575,325,605
Caserne 22 Grid0_1,5996,56019.8,4340,2300,4330
Caserne 22 Grid0_2,10511,113710.3,8415,4500,8415
Caserne 22 Grid0_3,4966,46270.8,4010,2180,4065
Caserne 22 Grid1_0,6176,91159.1,4955,2590,4905
Caserne 22 Grid1_1,16060,251082,12070,6370,12125
Caserne 22 Grid1_2,9507,123856.7,7670,4140,7570
Caserne 22 Grid1_3,3099,24525.4,2480,1425,2535
Caserne 22 Grid2_0,7037,68602.6,5820,3155,5860
Caserne 22 Grid2_1,9668,158926.7,7700,4140,7635
Caserne 23 Grid0_3,620,625.5,480,285,460
Caserne 23 Grid0_4,2205,7339.9,1765,985,1710
Caserne 23 Grid1_2,620,625.5,480,285,460
Caserne 23 Grid1_3,620,625.5,480,285,460
Caserne 23 Grid2_1,1517,8635.6,1295,740,1290
Caserne 23 Grid2_2,2647,12459.1,2065,1225,2070
Caserne 23 Grid2_3,5,2.7,,,
Caserne 23 Grid3_0,3843,40804.7,3400,2190,3475
Caserne 23 Grid3_1,14793,205515.7,12570,7930,12620
Caserne 23 Grid3_2,5896,70593,4895,3025,4890
Caserne 23 Grid4_0,13004,193713.4,11240,6780,11230
Caserne 23 Grid4_1,9328,129527.7,8280,5295,8220
Caserne 23 Grid4_2,747,4683.4,625,380,625
Caserne 23 Grid5_0,1403,18674.7,1260,730,1215
Caserne 25 Grid0_0,2563,48763,2215,1215,2260
Caserne 25 Grid0_1,885,377.2,785,460,810
Caserne 25 Grid1_0,3061,40288.8,2785,1700,2785
Caserne 25 Grid1_1,11016,116759,10225,6475,10265
Caserne 25 Grid1_2,2580,9747.4,2360,1510,2330
