Key,incident_nb,DateTime_Out
Caserne 03 Grid0_0,1,2021-04-20
Caserne 03 Grid0_0,1,2021-04-23
Caserne 03 Grid0_0,1,2021-04-28
Caserne 03 Grid0_0,1,2021-05-02
Caserne 03 Grid0_0,1,2021-05-20
Caserne 03 Grid0_0,1,2021-06-04
Caserne 03 Grid0_0,1,2021-06-06
Caserne 03 Grid0_0,1,2021-06-13
Caserne 03 Grid0_0,1,2021-06-20
Caserne 03 Grid0_0,1,2021-07-14
Caserne 03 Grid0_0,1,2021-07-18
Caserne 03 Grid0_0,1,2021-08-07
Caserne 03 Grid0_0,1,2021-08-10
Caserne 03 Grid0_0,1,2021-08-16
Caserne 03 Grid0_0,1,2021-09-04
Caserne 03 Grid0_0,1,2021-10-14
Caserne 03 Grid0_0,1,2021-10-27
Caserne 03 Grid0_0,1,2021-10-29
Caserne 03 Grid0_0,1,2021-11-08
Caserne 03 Grid0_0,1,2021-11-28
Caserne 03 Grid0_0,1,2021-12-01
Caserne 03 Grid0_0,1,2021-12-06
Caserne 03 Grid0_0,2,2021-12-15
Caserne 03 Grid0_0,1,2022-01-08
Caserne 03 Grid0_0,1,2022-01-21
Caserne 03 Grid0_0,2,2022-02-08
Caserne 03 Grid0_0,1,2022-03-10
Caserne 03 Grid0_0,1,2022-03-15
Caserne 03 Grid0_0,1,2022-03-27
Caserne 03 Grid0_0,1,2022-04-01
Caserne 03 Grid0_0,1,2022-04-10
Caserne 03 Grid0_0,1,2022-04-28
Caserne 03 Grid0_0,1,2022-04-29
Caserne 03 Grid0_0,1,2022-05-03
Caserne 03 Grid0_0,1,2022-05-08
Caserne 03 Grid0_0,1,2022-05-12
Caserne 03 Grid0_0,1,2022-05-21
Caserne 03 Grid0_0,1,2022-06-09
Caserne 03 Grid0_0,1,2022-06-10
Caserne 03 Grid0_1,2,2015-01-07
Caserne 03 Grid0_1,1,2015-01-09
Caserne 03 Grid0_1,2,2015-01-14
Caserne 03 Grid0_1,1,2015-01-19
Caserne 03 Grid0_1,1,2015-01-29
Caserne 03 Grid0_1,1,2015-02-06
Caserne 03 Grid0_1,3,2015-02-14
Caserne 03 Grid0_1,1,2015-02-15
Caserne 03 Grid0_1,1,2015-04-01
Caserne 03 Grid0_1,1,2015-04-16
Caserne 03 Grid0_1,1,2015-04-22
Caserne 03 Grid0_1,1,2015-04-24
Caserne 03 Grid0_1,1,2015-05-04
Caserne 03 Grid0_1,1,2015-05-26
Caserne 03 Grid0_1,1,2015-05-27
Caserne 03 Grid0_1,1,2015-06-08
Caserne 03 Grid0_1,2,2015-06-27
Caserne 03 Grid0_1,1,2015-07-01
Caserne 03 Grid0_1,1,2015-07-15
Caserne 03 Grid0_1,1,2015-07-20
Caserne 03 Grid0_1,1,2015-08-08
Caserne 03 Grid0_1,1,2015-08-16
Caserne 03 Grid0_1,1,2015-08-19
Caserne 03 Grid0_1,1,2015-09-21
Caserne 03 Grid0_1,1,2015-09-22
Caserne 03 Grid0_1,1,2015-09-29
Caserne 03 Grid0_1,1,2015-10-04
Caserne 03 Grid0_1,1,2015-10-07
Caserne 03 Grid0_1,1,2015-10-10
Caserne 03 Grid0_1,1,2015-10-13
Caserne 03 Grid0_1,1,2015-10-15
Caserne 03 Grid0_1,1,2015-10-27
Caserne 03 Grid0_1,3,2015-11-17
Caserne 03 Grid0_1,1,2015-11-24
Caserne 03 Grid0_1,1,2015-11-29
Caserne 03 Grid0_1,1,2015-12-01
Caserne 03 Grid0_1,1,2015-12-23
Caserne 03 Grid0_1,1,2016-01-19
Caserne 03 Grid0_1,1,2016-02-01
Caserne 03 Grid0_1,1,2016-02-13
Caserne 03 Grid0_1,2,2016-02-15
Caserne 03 Grid0_1,1,2016-04-13
Caserne 03 Grid0_1,2,2016-05-23
Caserne 03 Grid0_1,1,2016-05-29
Caserne 03 Grid0_1,1,2016-06-09
Caserne 03 Grid0_1,1,2016-06-21
Caserne 03 Grid0_1,1,2016-07-10
Caserne 03 Grid0_1,1,2016-07-12
Caserne 03 Grid0_1,1,2016-07-19
