incident_nb,quarter,Key,Right_Key,Crime_nb,Right_quarter,CATEGORIE
9,2021 Q4,Caserne 03 Grid0_0,Caserne 03 Grid0_0,2,2021 Q4,Introduction
9,2021 Q4,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2021 Q4,Vol dans / sur véhicule à moteur
9,2021 Q4,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2021 Q4,Vol de véhicule à moteur
7,2022 Q1,Caserne 03 Grid0_0,Caserne 03 Grid0_0,2,2022 Q1,Introduction
7,2022 Q1,Caserne 03 Grid0_0,Caserne 03 Grid0_0,2,2022 Q1,Vol de véhicule à moteur
10,2022 Q2,Caserne 03 Grid0_0,Caserne 03 Grid0_0,2,2022 Q2,Méfait
10,2022 Q2,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2022 Q2,Vol de véhicule à moteur
12,2015 Q1,Caserne 03 Grid0_1,Caserne 03 Grid0_1,11,2015 Q1,Introduction
12,2015 Q1,Caserne 03 Grid0_1,Caserne 03 Grid0_1,2,2015 Q1,Méfait
12,2015 Q1,Caserne 03 Grid0_1,Caserne 03 Grid0_1,3,2015 Q1,Vol dans / sur véhicule à moteur
12,2015 Q1,Caserne 03 Grid0_1,Caserne 03 Grid0_1,1,2015 Q1,Vols qualifiés
10,2015 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,6,2015 Q2,Introduction
10,2015 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,4,2015 Q2,Méfait
10,2015 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,9,2015 Q2,Vol dans / sur véhicule à moteur
10,2015 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,1,2015 Q2,Vols qualifiés
9,2015 Q3,Caserne 03 Grid0_1,Caserne 03 Grid0_1,6,2015 Q3,Introduction
9,2015 Q3,Caserne 03 Grid0_1,Caserne 03 Grid0_1,3,2015 Q3,Méfait
9,2015 Q3,Caserne 03 Grid0_1,Caserne 03 Grid0_1,6,2015 Q3,Vol dans / sur véhicule à moteur
13,2015 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,6,2015 Q4,Introduction
13,2015 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,2,2015 Q4,Méfait
13,2015 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,2,2015 Q4,Vol dans / sur véhicule à moteur
13,2015 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,1,2015 Q4,Vol de véhicule à moteur
13,2015 Q4,Caserne 03 Grid0_1,Caserne 03 Grid0_1,1,2015 Q4,Vols qualifiés
5,2016 Q1,Caserne 03 Grid0_1,Caserne 03 Grid0_1,2,2016 Q1,Introduction
5,2016 Q1,Caserne 03 Grid0_1,Caserne 03 Grid0_1,5,2016 Q1,Méfait
5,2016 Q1,Caserne 03 Grid0_1,Caserne 03 Grid0_1,1,2016 Q1,Vol dans / sur véhicule à moteur
6,2016 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,1,2016 Q2,Méfait
6,2016 Q2,Caserne 03 Grid0_1,Caserne 03 Grid0_1,6,2016 Q2,Vol dans / sur véhicule à moteur
