Key,Count,quarter
Caserne 04 Grid2_1,15,2018 Q4
Caserne 04 Grid2_1,16,2019 Q1
Caserne 04 Grid2_1,11,2019 Q2
Caserne 04 Grid2_1,18,2019 Q3
Caserne 04 Grid2_1,15,2019 Q4
Caserne 04 Grid2_1,28,2020 Q1
Caserne 04 Grid2_1,13,2020 Q2
Caserne 04 Grid2_1,22,2020 Q3
Caserne 04 Grid2_1,15,2020 Q4
Caserne 04 Grid2_1,11,2021 Q1
Caserne 04 Grid2_1,34,2021 Q2
Caserne 04 Grid2_1,27,2021 Q3
Caserne 04 Grid2_1,23,2021 Q4
Caserne 04 Grid2_1,25,2022 Q1
Caserne 04 Grid2_1,12,2022 Q2
Caserne 04 Grid2_2,1,2015 Q1
Caserne 04 Grid2_2,3,2015 Q2
Caserne 04 Grid2_2,2,2015 Q4
Caserne 04 Grid2_2,1,2016 Q2
Caserne 04 Grid2_2,1,2016 Q3
Caserne 04 Grid2_2,1,2017 Q1
Caserne 04 Grid2_2,2,2017 Q2
Caserne 04 Grid2_2,2,2017 Q3
Caserne 04 Grid2_2,2,2018 Q1
Caserne 04 Grid2_2,1,2018 Q2
Caserne 04 Grid2_2,2,2018 Q3
Caserne 04 Grid2_2,1,2018 Q4
Caserne 04 Grid2_2,2,2019 Q1
Caserne 04 Grid2_2,2,2019 Q3
Caserne 04 Grid2_2,1,2019 Q4
Caserne 04 Grid2_2,1,2020 Q1
Caserne 04 Grid2_2,2,2020 Q2
Caserne 04 Grid2_2,3,2020 Q3
Caserne 04 Grid2_2,3,2020 Q4
Caserne 04 Grid2_2,2,2021 Q1
Caserne 04 Grid2_2,1,2021 Q2
Caserne 04 Grid2_2,1,2021 Q3
Caserne 04 Grid2_2,1,2021 Q4
Caserne 04 Grid2_2,1,2022 Q1
Caserne 04 Grid2_2,2,2022 Q2
Caserne 04 Grid3_0,10,2015 Q1
Caserne 04 Grid3_0,9,2015 Q2
Caserne 04 Grid3_0,10,2015 Q3
Caserne 04 Grid3_0,13,2015 Q4
Caserne 04 Grid3_0,12,2016 Q1
Caserne 04 Grid3_0,10,2016 Q2
Caserne 04 Grid3_0,7,2016 Q3
Caserne 04 Grid3_0,16,2016 Q4
