NOM_CAS_AD,NO_CAS_ADM,OBJECTID,AreaSqKm,CentroidX,CentroidY,GridName,Key,GEO_UID,DA_NAME,Population,Pop__Densi,Appart_in_,Income___T,Income___2,Income___3,Housing___,Education_,DAUID,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,CSDUID,CSDNAME,CSDTYPE,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE,CTUID,CTNAME,ADAUID
Caserne 31,31,300,2.00648,-73.608784,45.533372,Grid0_0,Caserne 31 Grid0_0,24661515,1515,456,11259.3,0,395,100,77.6,265,380,24661515,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620218.00,0218.00,24660104
Caserne 31,31,300,2.00648,-73.608784,45.533372,Grid0_0,Caserne 31 Grid0_0,24661506,1506,715,19589,90,650,100,69.1,415,645,24661506,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620233.00,0233.00,24660100
Caserne 31,31,300,2.00648,-73.608784,45.533372,Grid0_0,Caserne 31 Grid0_0,24661513,1513,529,11255.3,0,455,100,78,240,510,24661513,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620214.00,0214.00,24660104
Caserne 31,31,300,2.00648,-73.608784,45.533372,Grid0_0,Caserne 31 Grid0_0,24661466,1466,481,8604.7,0,425,100,82.6,300,465,24661466,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620214.00,0214.00,24660104
Caserne 31,31,300,2.00648,-73.608784,45.533372,Grid0_0,Caserne 31 Grid0_0,24661500,1500,523,8146.4,0,460,100,77,285,450,24661500,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620245.00,0245.00,24660092
Caserne 31,31,300,2.00648,-73.608784,45.533372,Grid0_0,Caserne 31 Grid0_0,24661499,1499,582,10355.9,0,510,100,75.7,335,545,24661499,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620244.00,0244.00,24660092
Caserne 31,31,300,2.00648,-73.608784,45.533372,Grid0_0,Caserne 31 Grid0_0,24661461,1461,609,17252.1,0,560,100,83.3,330,585,24661461,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620217.00,0217.00,24660109
Caserne 31,31,300,2.00648,-73.608784,45.533372,Grid0_0,Caserne 31 Grid0_0,24661514,1514,510,11062.9,0,435,100,77.4,225,410,24661514,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620218.00,0218.00,24660104
Caserne 31,31,300,2.00648,-73.608784,45.533372,Grid0_0,Caserne 31 Grid0_0,24661463,1463,760,11728.4,0,655,100,81.2,360,690,24661463,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620214.00,0214.00,24660104
Caserne 31,31,300,2.00648,-73.608784,45.533372,Grid0_0,Caserne 31 Grid0_0,24661465,1465,355,12769.8,0,310,100,78.7,200,310,24661465,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620214.00,0214.00,24660104
